               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095989,            0.090761,            0.017438,              0.3144,             0.18234,             0.14576,            0.048628,            0.087791,            0.095035,            0.015629,            0.070349,           0.0032946,           0.0032946
                   1,            0.073003,            0.075077,           0.0089111,             0.48113,              0.5899,             0.50224,              0.2044,            0.063075,            0.074421,           0.0052708,            0.040316,           0.0065951,           0.0065951
                   2,             0.06375,            0.068863,           0.0041361,             0.71206,             0.68809,              0.7358,             0.34263,            0.051841,            0.073408,           0.0032495,             0.01025,           0.0098626,           0.0098626
                   3,            0.054827,            0.066913,           0.0026431,             0.80552,             0.76965,             0.82333,             0.38002,            0.049269,            0.066295,           0.0025223,           0.0098515,           0.0098515,           0.0098515
                   4,             0.05073,            0.065292,           0.0021577,             0.87229,             0.81893,              0.8834,             0.48187,            0.047824,            0.060124,           0.0024936,           0.0098515,           0.0098515,           0.0098515
                   5,             0.04794,            0.065571,           0.0017232,             0.91709,             0.83208,               0.904,             0.51251,            0.044473,            0.059886,           0.0021612,            0.009802,            0.009802,            0.009802
                   6,            0.046285,            0.064215,           0.0015929,             0.89878,             0.84842,             0.90762,             0.52468,             0.04156,            0.058543,           0.0018704,           0.0097525,           0.0097525,           0.0097525
                   7,            0.045216,            0.063255,           0.0015473,             0.90157,             0.82588,             0.88734,             0.49565,            0.042098,            0.059327,            0.002013,            0.009703,            0.009703,            0.009703
                   8,            0.044429,            0.063039,           0.0013121,             0.91636,             0.84196,             0.90936,             0.53755,            0.040937,            0.058263,           0.0017867,           0.0096535,           0.0096535,           0.0096535
                   9,            0.043306,            0.062309,           0.0011434,             0.92127,             0.84086,             0.90605,             0.51297,            0.041623,            0.058064,            0.001785,            0.009604,            0.009604,            0.009604
                  10,            0.043189,            0.061462,           0.0012577,             0.91789,             0.86103,             0.91781,             0.54075,             0.04076,            0.057443,           0.0016856,           0.0095545,           0.0095545,           0.0095545
                  11,            0.042722,            0.062915,           0.0010252,             0.92214,             0.86089,             0.92273,             0.51986,            0.041385,            0.057113,            0.001357,            0.009505,            0.009505,            0.009505
                  12,            0.041927,            0.060386,          0.00093766,             0.91505,             0.87328,             0.92451,             0.56194,             0.03959,            0.056624,           0.0015113,           0.0094555,           0.0094555,           0.0094555
                  13,            0.041701,            0.059947,          0.00098552,             0.92117,             0.87011,              0.9279,             0.57061,            0.039024,             0.05657,           0.0013137,            0.009406,            0.009406,            0.009406
                  14,            0.041232,            0.059039,          0.00093628,             0.93401,             0.86365,             0.93008,             0.56995,            0.039195,            0.057165,           0.0013719,           0.0093565,           0.0093565,           0.0093565
                  15,            0.041521,            0.059627,          0.00087808,             0.92803,             0.88184,              0.9315,             0.56725,            0.039207,            0.056318,           0.0014687,            0.009307,            0.009307,            0.009307
                  16,            0.040908,             0.05861,          0.00084229,             0.93282,             0.86919,             0.92895,             0.55963,            0.039231,            0.056281,           0.0015439,           0.0092575,           0.0092575,           0.0092575
                  17,            0.041289,            0.060238,          0.00081428,             0.92351,             0.88163,              0.9295,             0.57063,            0.038683,            0.056313,            0.001485,            0.009208,            0.009208,            0.009208
                  18,            0.041067,            0.060072,          0.00079597,             0.93874,             0.86549,             0.92535,              0.5664,            0.038647,            0.055872,           0.0016396,           0.0091585,           0.0091585,           0.0091585
                  19,            0.040772,             0.05907,          0.00078131,             0.93015,             0.88404,             0.93156,             0.57058,            0.038553,            0.055915,           0.0015175,            0.009109,            0.009109,            0.009109
                  20,            0.040272,             0.05949,          0.00078867,             0.93271,             0.86699,             0.92327,             0.56672,            0.038704,            0.055747,           0.0014244,           0.0090595,           0.0090595,           0.0090595
                  21,            0.040458,            0.059328,          0.00079935,             0.93185,             0.87475,             0.93492,             0.58294,            0.038259,            0.055814,           0.0013475,             0.00901,             0.00901,             0.00901
                  22,            0.040414,            0.058928,           0.0007347,             0.93271,             0.87654,             0.92988,             0.57489,            0.038376,            0.055628,           0.0013904,           0.0089605,           0.0089605,           0.0089605
                  23,            0.040057,            0.058998,          0.00074574,             0.92696,             0.88738,             0.93265,             0.58243,            0.037997,             0.05588,           0.0013089,            0.008911,            0.008911,            0.008911
                  24,            0.040018,            0.058632,          0.00068483,             0.92536,             0.87877,             0.93447,             0.58499,            0.038001,             0.05557,           0.0013204,           0.0088615,           0.0088615,           0.0088615
                  25,            0.039957,            0.057772,          0.00071295,             0.93542,             0.87568,             0.93319,             0.57866,             0.03805,             0.05568,           0.0014514,            0.008812,            0.008812,            0.008812
                  26,            0.039762,            0.058392,          0.00070582,             0.92028,             0.88066,             0.93688,             0.58295,             0.03794,            0.055652,           0.0013138,           0.0087625,           0.0087625,           0.0087625
                  27,             0.03985,            0.057587,          0.00066782,             0.93716,              0.8821,             0.93656,             0.59066,            0.037771,            0.055591,           0.0017041,            0.008713,            0.008713,            0.008713
                  28,            0.039638,            0.058216,          0.00069523,             0.93991,             0.87611,             0.93456,             0.57886,            0.037995,            0.055844,           0.0013914,           0.0086635,           0.0086635,           0.0086635
                  29,            0.039595,            0.057748,          0.00060394,             0.93842,             0.88373,              0.9376,             0.58856,            0.037588,            0.055394,           0.0013108,            0.008614,            0.008614,            0.008614
                  30,            0.039815,            0.058723,          0.00066462,             0.93603,             0.88478,              0.9359,             0.58504,            0.038066,            0.055985,           0.0013199,           0.0085645,           0.0085645,           0.0085645
                  31,            0.039483,            0.058625,          0.00056941,             0.94045,             0.87807,             0.93025,             0.58039,             0.03758,            0.055346,           0.0015357,            0.008515,            0.008515,            0.008515
                  32,            0.039295,            0.057991,          0.00063343,             0.93485,             0.87667,             0.93211,              0.5882,            0.037766,              0.0552,           0.0016137,           0.0084655,           0.0084655,           0.0084655
                  33,            0.039278,            0.057134,          0.00064574,             0.94055,             0.87456,             0.93681,             0.58931,            0.037712,            0.055804,            0.001331,            0.008416,            0.008416,            0.008416
